めう語,翻訳
まりり,山形まり花
いぶぶ,和泉一舞
めう,芽兎めう
さきき,春日咲子
りんりん先生,霜月凛
ひなひな,星見日向
なつつ,東雲夏陽
こここ,東雲心菜
まとと,久領堤纒
さきパ,春日咲子の父
ちくぱ,ちくわパフェ
ぼるる,SOUND VOLTEX
まきしし,魔騎士
ごりり,剛力羅
れべべ,レベル
たいここ,太鼓の達人
かつらら,かつら
こっぷれ,こすぷれ
こっぷれーやー,コスプレイヤー
もちゃちゃ,自転車
感シャカ,感謝
めがねね,眼鏡
しんぐるる,シングル
のぼぼ,登る
しんぞぞ,心臓
とてかわ,とてもかわいい
とてとて,とてもとてもかわいい
どっきんこ,どっきり
8びとと,8bit
フロロア作戦,FLOOR INFECTION(SOUND VOLTEX II -infinite infection-と他BEMANIシリーズとの連動イベント)
べくたーすきゃきゃ,Vector Scan(ブラウン管の輝点やレーザーなどを、直接、図形の形状に沿って振り動かし図形を描画する方式)
MOKS,萌えおこし
UDPSKK,あるてぃめっとダークプリンセス･SAKIKI
べよねね先生,ベヨネッタ(ゲームBAYONETTAの主人公)
つりり野伏せ,釣り野伏せ(九州の戦国大名島津義久により考案された戦法)
おにしまづづ,鬼島津(戦国時代薩摩国の武将、島津義弘はその武勇の誉れ高さから鬼島津の異名で知られていた)
むににに,むむむむ
むひゅひゅ,(う)ふふ
んでも,でも
こりで,これで
あーめう,アーメン
むっきゅーん!!,(鳴き声)
めう〜/ー,(鳴き声)
